cities,birth_rate,ad_layer
경기 시흥시,1.306,자치시
경기 군포시,1.422,자치시
경기 의왕시,1.209,자치시
경기 하남시,1.076,자치시
경기 용인시,1.316,자치시
경기 파주시,1.443,자치시
경기 이천시,1.470,자치시
경기 안성시,1.335,자치시
경기 김포시,1.461,자치시
경기 화성시,1.555,자치시
경기 광주시,1.450,자치시
경기 양주시,1.318,자치시
경기 포천시,1.354,자치시
경기 여주시,1.336,자치시
강원 춘천시,1.202,자치시
강원 원주시,1.255,자치시
강원 강릉시,1.234,자치시
강원 동해시,1.340,자치시
강원 태백시,1.276,자치시
강원 속초시,1.486,자치시
강원 삼척시,1.307,자치시
충북 청주시,1.444,자치시
충북 충주시,1.260,자치시
충북 제천시,1.301,자치시
충남 천안시,1.380,자치시
충남 공주시,1.147,자치시
충남 보령시,1.303,자치시
충남 아산시,1.692,자치시
충남 서산시,1.752,자치시
충남 논산시,1.384,자치시
충남 계룡시,1.305,자치시
충남 당진시,1.949,자치시
전북 전주시,1.255,자치시
전북 군산시,1.495,자치시
전북 익산시,1.341,자치시
전북 정읍시,1.338,자치시
전북 남원시,1.383,자치시
전북 김제시,1.268,자치시
전남 목포시,1.304,자치시
전남 여수시,1.550,자치시
전남 순천시,1.340,자치시
전남 나주시,1.639,자치시
경북 경산시,1.457,자치시
경남 창원시,1.345,자치시
경남 진주시,1.290,자치시
경남 통영시,1.484,자치시
경남 사천시,1.518,자치시
경남 김해시,1.495,자치시
경남 밀양시,1.268,자치시
경남 거제시,1.911,자치시
경남 양산시,1.504,자치시
부산 기장군,1.771,자치군
대구 달성군,1.535,자치군
인천 강화군,1.081,자치군
인천 옹진군,1.339,자치군
울산 울주군,1.579,자치군
경기 연천군,1.729,자치군
강원 양구군,1.748,자치군
강원 인제군,2.161,자치군
강원 고성군,1.264,자치군
강원 양양군,1.224,자치군
충북 보은군,1.536,자치군
충북 옥천군,1.254,자치군
충북 영동군,1.210,자치군
충북 진천군,1.620,자치군
충북 괴산군,0.980,자치군
충북 음성군,1.517,자치군
충북 단양군,1.226,자치군
충북 증평군,1.832,자치군
충남 금산군,1.290,자치군
충남 부여군,1.311,자치군
충남 서천군,1.213,자치군
충남 청양군,1.497,자치군
충남 홍성군,1.354,자치군
충남 예산군,1.160,자치군
충남 태안군,1.321,자치군
전북 완주군,1.697,자치군
전북 진안군,1.821,자치군
전북 무주군,1.460,자치군
전북 장수군,1.388,자치군
전북 임실군,1.634,자치군
전북 순창군,1.475,자치군
전북 고창군,1.278,자치군
전북 부안군,1.178,자치군
전남 담양군,1.599,자치군
전남 곡성군,1.437,자치군
전남 구례군,1.570,자치군
전남 고흥군,1.091,자치군
전남 보성군,1.700,자치군
전남 화순군,1.219,자치군
전남 장흥군,1.204,자치군
전남 강진군,1.755,자치군
전남 해남군,2.464,자치군
전남 영암군,2.107,자치군
전남 무안군,1.444,자치군
전남 함평군,1.630,자치군
전남 영광군,1.652,자치군
전남 장성군,2.101,자치군
전남 완도군,1.767,자치군
전남 진도군,1.697,자치군
전남 신안군,1.539,자치군
경북 군위군,1.239,자치군
서울 광진구,0.903,자치구
서울 동대문구,0.960,자치구
서울 중랑구,1.051,자치구
서울 성북구,0.991,자치구
서울 강북구,0.922,자치구
서울 도봉구,1.010,자치구
서울 노원구,1.096,자치구
서울 은평구,1.003,자치구
서울 서대문구,0.913,자치구
서울 마포구,0.986,자치구
서울 양천구,1.034,자치구
서울 강서구,1.129,자치구
서울 구로구,1.169,자치구
서울 금천구,1.086,자치구
서울 영등포구,1.085,자치구
서울 동작구,1.012,자치구
서울 관악구,0.833,자치구
서울 서초구,1.012,자치구
서울 강남구,0.857,자치구
서울 송파구,1.008,자치구
서울 강동구,1.036,자치구
부산 중구,0.925,자치구
부산 서구,0.899,자치구
부산 동구,0.929,자치구
부산 영도구,0.899,자치구
부산 부산진구,1.079,자치구
부산 동래구,1.026,자치구
부산 남구,1.049,자치구
부산 북구,1.209,자치구
부산 해운대구,1.081,자치구
인천 동구,1.325,자치구
인천 남구,1.124,자치구
인천 연수구,1.215,자치구
인천 남동구,1.240,자치구
인천 부평구,1.177,자치구
인천 계양구,1.126,자치구
인천 서구,1.350,자치구
광주 동구,1.072,자치구
광주 서구,1.030,자치구
광주 남구,1.089,자치구
광주 북구,1.235,자치구
광주 광산구,1.427,자치구
대전 동구,1.258,자치구
대전 중구,1.165,자치구
대전 서구,1.223,자치구
울산 동구,1.599,자치구
울산 북구,1.695,자치구
