cities,birth_rate,dummy
경기 수원시,1.292,1
경기 성남시,1.159,1
경기 의정부시,1.104,1
경기 안양시,1.177,1
경기 부천시,1.072,1
경기 광명시,1.235,1
경기 평택시,1.469,1
경기 동두천시,1.292,1
경기 안산시,1.219,1
경기 고양시,1.161,1
경기 과천시,1.099,1
경기 구리시,1.159,1
경기 남양주시,1.255,1
경기 오산시,1.458,1
경기 시흥시,1.306,1
경기 군포시,1.422,1
경기 의왕시,1.209,1
충북 괴산군,0.980,0
충북 음성군,1.517,0
충북 단양군,1.226,0
충북 증평군,1.832,0
충남 금산군,1.290,0
충남 부여군,1.311,0
충남 서천군,1.213,0
충남 청양군,1.497,0
충남 홍성군,1.354,0
충남 예산군,1.160,0
충남 태안군,1.321,0
전북 완주군,1.697,0
전북 진안군,1.821,0
전북 무주군,1.460,0
전북 장수군,1.388,0
전북 임실군,1.634,0
전북 순창군,1.475,0
전북 고창군,1.278,0
전북 부안군,1.178,0
전남 담양군,1.599,0
전남 곡성군,1.437,0
전남 구례군,1.570,0
전남 고흥군,1.091,0
전남 보성군,1.700,0
전남 화순군,1.219,0
전남 장흥군,1.204,0
전남 강진군,1.755,0
전남 해남군,2.464,0
전남 영암군,2.107,0
전남 무안군,1.444,0
전남 함평군,1.630,0
전남 영광군,1.652,0
전남 장성군,2.101,0
전남 완도군,1.767,0
전남 진도군,1.697,0
전남 신안군,1.539,0
경북 군위군,1.239,0
경북 의성군,1.505,0
경북 청송군,1.548,0
경북 영양군,1.517,0
경북 영덕군,1.542,0
