cities,birth_rate_2015,birth_rate_2010
경기 수원시,1.292,1.226
경기 성남시,1.159,1.170
경기 의정부시,1.104,1.179
경기 과천시,1.099,1.148
경기 구리시,1.159,1.232
경기 남양주시,1.255,1.349
경기 오산시,1.458,1.589
경기 시흥시,1.306,1.478
전북 군산시,1.495,1.416
전북 익산시,1.341,1.337
전북 정읍시,1.338,1.386
전북 남원시,1.383,1.480
전북 김제시,1.268,1.474
전남 목포시,1.304,1.445
전남 여수시,1.550,1.379
전남 순천시,1.340,1.250
전남 나주시,1.639,1.276
전남 광양시,1.835,1.886
경북 포항시,1.475,1.330
경북 경주시,1.294,1.264
경북 김천시,1.419,1.398
경북 안동시,1.619,1.528
경북 구미시,1.440,1.334
경남 통영시,1.484,1.655
경남 사천시,1.518,1.532
경남 김해시,1.495,1.471
경남 밀양시,1.268,1.150
경남 거제시,1.911,1.883
경남 양산시,1.504,1.371
